parlamentarier_anzeige_name	parlamentarier_id	parlamentarier_nachname	parlamentarier_vorname	parlamentarier_zweiter_vorname	parlamentarier_rat	parlamentarier_kanton	parlamentarier_partei	parlamentarier_fraktion	parlamentarier_kommissionen	parlamentarier_im_rat_seit	parlamentarier_im_rat_bis	parlamentarier_geschlecht	parlamentarier_geburtstag	parlamentarier_parlament_biografie_id	parlamentarier_parlament_number	parlamentarier_sprache	parlamentarier_arbeitssprache	interessenbindung_beschreibung	interessenbindung_von	interessenbindung_bis	interessenbindung_art	interessenbindung_funktion_im_gremium	interessenbindung_deklarationstyp	interessenbindung_status	interessenbindung_hauptberuflich	interessenbindung_behoerden_vertreter	interessenbindung_wirksamkeit	organisation_id	verguetung	verguetung_jahr	verguetung_beschreibung	organisation_name_de	organisation_uid	organisation_name_fr	organisation_ort	organisation_rechtsform	organisation_rechtsform_handelsregister	organisation_rechtsform_zefix	organisation_typ	organisation_vernehmlassung	organisation_interessengruppe1	organisation_interessengruppe1_branche	organisation_interessengruppe1_branche_kommission_abkuerzung	organisation_interessengruppe2	organisation_interessengruppe2_branche	organisation_interessengruppe2_branche_kommission_abkuerzung	organisation_interessengruppe3	organisation_interessengruppe3_branche	organisation_interessengruppe3_branche_kommission_abkuerzung
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1761				"ePower - ICT für die Schweiz"		"ePower - TIC pour la Suisse"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"IT"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	1976	"0"	2015	"Ehrenamtlich"	"Schweizerischer Anwaltsverband SAV"	"CHE-107.543.578"	"Fédération Suisse des Avocats"	"Bern"	"Verein"	0109		"DachOrganisation,LeistungsErbringer,dezidierteLobby"	"punktuell"	"Advokaturen/Treuhand"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2020				"Bergbevölkerung"		"Montagne"	"Bern"	"Parlamentarische Gruppe"			"dezidierteLobby"	"nie"	"Berggebiete"	"Staatspolitik/Staatswirtschaft"	"SPK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2415				"Pfadibewegung Schweiz"		"Mouvement Scout de Suisse"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"punktuell"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Inhaber und Geschäftsführer"			"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2650				"Addor & Künzi avocats SA"	"CHE-145.146.480"		"Sion"	"AG"	0106	3	"EinzelOrganisation"	"nie"	"Advokaturen/Treuhand"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"praesident"	"nicht deklarationspflicht"	"deklariert"	"0"	"N"	"tief"	2651	"0"	2015	"ehrenamtlich"	"Penalty d'Or"			"Savièse"	"Verein"			"EinzelOrganisation"	"nie"	"Sport allgemein"	"Sport"	"WBK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2652	"0"	2015	"Ehrenamtlich"	"Walliser Anwaltsverband"		"Ordre des avocats valaisans (OAVS)"	"Sion"	"Verein"			"MitgliedsOrganisation,LeistungsErbringer"	"nie"	"Advokaturen/Treuhand"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2653	"0"	2015	"Ehrenamtlich"	"Union des indépendants (UDI)"			"Sion"	"Verein"			"MitgliedsOrganisation"	"nie"	"KMU/Gewerbe/Arbeitgeber"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"mitglied"	"deklarationspflichtig"	"nicht-deklariert"	"0"	"N"	"tief"	2658	"0"	2015	"Ehrenamtlich"	"AUNS Wallis"		"ASIN Valais"		"Verein"			"MitgliedsOrganisation,dezidierteLobby"	"nie"	"EU-Gegner"	"Aussenpolitik/Aussenwirtschaft"	"APK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Präsident a.i. / Président a.i."			"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"hoch"	2659	"0"	2015	"Ehrenamtlich"	"Pro Tell, Gesellschaft für ein freiheitliches Waffenrecht"		"Pro Tell, Société pour un droit libéral sur les armes"	"Bern"	"Verein"			"EinzelOrganisation,MitgliedsOrganisation,dezidierteLobby"	"punktuell"	"Militär"	"Sicherheit"	"SiK"	"EU-Gegner"	"Aussenpolitik/Aussenwirtschaft"	"APK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2660	"0"	2015	"Ehrenamtlich"	"Association des Amis et des Anciens des Rives du Rhône"			"Salvan"	"Verein"			"EinzelOrganisation"	"nie"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2661	"0"	2015	"Ehrenamtlich"	"Fédération Romande Faîtière des Associations de Personnes Concernées par les problèmes liés à la Drogue (F.R.A.P.C.D)"			"Martigny"	"Verein"			"DachOrganisation,dezidierteLobby"	"nie"	"Gesundheit"	"Gesundheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2662	"0"	2015	"Ehrenamtlich"	"Schweizerische Bewegung gegen die Islamisierung"		"Mouvement Suisse Contre l’Islamisation"	"Orbe"	"Verein"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Migration"	"Staatspolitik/Staatswirtschaft"	"SPK"	"Religion"	"Staatspolitik/Staatswirtschaft"	"SPK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2663	"0"	2015	"Ehrenamtlich"	"Association pour la Protection du Paysage du Coude du Rhône"			"Collonges"	"Verein"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Umwelt & Natur"	"Umwelt"	"UREK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	2664	"0"	2015	"Ehrenamtlich"	"Association Stop aux Abus de Via Sicura"			"Monthey 2"	"Verein"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Individualverkehr"	"Verkehr"	"KVF"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2793				"Rock/Pop im Bundeshaus"		"Pop rock au Palais fédéral"	"St. Gallen"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Musik"	"Kultur"	"WBK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2855				"Mehrsprachigkeit CH"		"Plurilinguisme CH"	"Lenzburg"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Kulturförderung"	"Kultur"	"WBK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	2899				"Wohn- und Grundeigentum"		"Propriété immobilière et foncière"	"Zürich"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Immobilien/Hauseigentümer"	"Wirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"mitglied"		"nicht deklarationspflicht"	"nicht-deklariert"	"0"	"N"	"tief"	3298	"0"	2015	"Ehrenamtlich"	"Schweizerische Volkspartei Savièse"		"Union démocratique du centre Savièse"	"Savièse"	"Verein"			"EinzelOrganisation,MitgliedsOrganisation,LeistungsErbringer,dezidierteLobby"	"nie"	"Parteien"	"Staatspolitik/Staatswirtschaft"	"SPK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Conseil exécutif"			"vorstand"	"vizepraesident"	"deklarationspflichtig"	"nicht-deklariert"	"0"	"N"	"tief"	3299	"0"	2015	"Ehrenamtlich"	"Schweizerische Volkspartei Unterwallis"		"Union démocratique du centre Valais romand"	"Fully"	"Verein"			"DachOrganisation,MitgliedsOrganisation,dezidierteLobby"	"nie"	"Parteien"	"Staatspolitik/Staatswirtschaft"	"SPK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	4976				"Ernährungssouveränität"		"Souveraineté Alimentaire"	"Lausanne"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Landwirtschaft allgemein"	"Landwirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-11-23		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5047				"Weinbau"		"Vitivinicole"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation"	"nie"	"Weinbau, Bier und Spirituosen"	"Landwirtschaft"	"WAK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5189				"Altersfragen"		"Questions relatives à la vieillesse"	"Zürich"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Gemeinwohl/Gesellschaft"	"Soziale Sicherheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5204				"BVG"		"LPP"	"Zürich"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Sozialversicherungen"	"Soziale Sicherheit"	"SGK"						
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"mitglied"	"deklarationspflichtig"	"nicht-deklariert"	"0"		"tief"	5257				"Egerkinger Komitee - Initiativkomitee ""Ja zum Verhüllungsverbot"""		"Comité d‘initiative ""Oui à l‘interdiction de se  dissimuler le visage"""	"Flaach"	"Verein"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Religion"	"Staatspolitik/Staatswirtschaft"	"SPK"	"Migration"	"Staatspolitik/Staatswirtschaft"	"SPK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Präsident"			"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"		"tief"	5728				"Für ein freiheitliches Waffenrecht"		"Pour un droit libéral sur les armes"	"Bern 8"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Militär"	"Sicherheit"	"SiK"	"EU-Gegner"	"Aussenpolitik/Aussenwirtschaft"	"APK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	5788				"Stiftung COURAGE"	"CHE-110.407.450"		"Bern"	"Stiftung"	0110	7	"EinzelOrganisation"	"nie"	"Militär"	"Sicherheit"	"SiK"	"EU-Gegner"	"Aussenpolitik/Aussenwirtschaft"	"APK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"				"vorstand"	"vizepraesident"	"deklarationspflichtig"	"deklariert"	"0"		"tief"	5789				"Société de tir pratique Valais"				"Verein"			"EinzelOrganisation"	"nie"	"Breitensport"	"Sport"	"WBK"	"Militär"	"Sicherheit"	"SiK"			
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	7594				"Behindertenfragen"		"Pour les questions relatives aux personnes handicapées"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"									
"Addor, Jean-Luc"	261	"Addor"	"Jean-Luc"		"NR"	"VS"	"SVP"	"V"	"SiK-NR, SPK-NR"	2015-11-30		"M"	1964-04-22	4154	3055	"fr"	"fr"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	7596																					
"Aebi, Andreas"	39	"Aebi"	"Andreas"		"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied Landwirtschafskammer"			"taetig"		"deklarationspflichtig"	"nicht-deklariert"	"0"	"N"	"mittel"	47				"Schweizer Bauernverband"	"CHE-108.088.677"	"Union Suisse des Paysans"	"Brugg AG"	"Verein"	0109	6	"DachOrganisation,LeistungsErbringer,dezidierteLobby"	"immer"	"Landwirtschaft allgemein"	"Landwirtschaft"	"WAK"						
"Aebi, Andreas"	39	"Aebi"	"Andreas"		"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"				"vorstand"	"mitglied"	"deklarationspflichtig"	"nicht-deklariert"	"0"	"N"	"mittel"	182				"Hochspannung unter den Boden"		"Haute tension sous terre"	"Fribourg"	"Verein"			"EinzelOrganisation,LeistungsErbringer,dezidierteLobby"	"punktuell"	"Energie allgemein"	"Energie"	"UREK"						
"Aebi, Andreas"	39	"Aebi"	"Andreas"		"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	637				"Biodiversität und Artenschutz"		"Biodiversité et gestion des espèces"	"Zürich"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"punktuell"	"Umwelt & Natur"	"Umwelt"	"UREK"						
"Aebi, Andreas"	39	"Aebi"	"Andreas"		"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1278				"Auslandschweizer"		"Suisses de l'étranger"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Staatspolitik allgemein"	"Staatspolitik/Staatswirtschaft"	"SPK"						
"Aebi, Andreas"	39	"Aebi"	"Andreas"		"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1622				"Tourismus PGT"		"Tourisme GPT"	"Bern"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Tourismus/Gastronomie"	"Wirtschaft"	"WAK"						
"Aebi, Andreas"	39	"Aebi"	"Andreas"		"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1750				"Bundeshaus-Band"		"Bundeshaus-Band"		"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Musik"	"Kultur"	"WBK"						
"Aebi, Andreas"	39	"Aebi"	"Andreas"		"NR"	"BE"	"SVP"	"V"	"APK-NR, Bü-NR, Bü-VBV-V, OSZE, VD"	2007-12-03		"M"	1958-11-26	3867	2670	"de"	"de"	"Mitglied"	2020-06-09		"mitglied"		"deklarationspflichtig"	"deklariert"	"0"	"N"	"tief"	1751				"Sport"		"Sport"	"Ittigen"	"Parlamentarische Gruppe"			"EinzelOrganisation,dezidierteLobby"	"nie"	"Sport allgemein"	"Sport"	"WBK"						
