id	person_id	organisation_id	art	funktion_im_gremium	hauptberuflich	beschreibung	beschreibung_fr	quelle_url	quelle_url_gueltig	quelle	von	bis	freigabe_datum
265	424	797	"geschaeftsfuehrend"	"praesident"	"0"	"Gesellschafter und Geschäftsführer"	"Associé et gérant"	"https://www.kaehr-communications.ch/ueber-mich/"					2016-03-18T11:05:59
266	424	798	"taetig"		"0"	"Dozent für Public Relations und Corporate Identity"	"Enseignant pour Public Relations et Corporate Identity"	"http://www.kaehr-communications.ch/ueber-mich/"					2016-03-18T11:05:59
267	424	799	"beirat"	"mitglied"	"0"								2016-03-18T11:05:59
268	425	800	"vorstand"	"praesident"	"0"			"https://www.udc-vaud.ch/direction-executive/"					2016-03-18T11:03:50
269	425	801	"taetig"		"0"	"Medientrainer"	"Médiatrainer"	"https://www.linkedin.com/in/kevin-grangier-a3110564/"					2016-03-18T11:03:50
275	253	821	"vorstand"	"praesident"	"0"			"http://www.ueli-keller.ch/politik/beispiele/"					2020-05-19T17:32:27
276	253	822	"vorstand"	"mitglied"	"0"			"http://www.ueli-keller.ch/politik/beispiele/"					2020-05-19T17:32:27
299	317	545	"vorstand"	"praesident"	"0"			"https://www.linkedin.com/in/daniel-wiener-basel/"					2016-03-18T11:05:59
300	317	860	"vorstand"	"mitglied"	"0"			"https://bs.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-109.384.061"					2016-03-18T11:05:59
301	317	863	"beirat"	"mitglied"	"0"	"Senior Advisor"		"https://www.linkedin.com/in/daniel-wiener-basel/"					2016-03-18T11:05:59
307	183	782	"taetig"		1	"Stv. Leiter Wirtschaftspolitik"	"Chef adjoint de la politique économique"	"https://www.public-affairs.ch/de/ueber-uns/mitglieder/mitglied/3028"					2020-07-15T17:22:06
319	22	6136	"vorstand"	"mitglied"	"0"	"Vorstand CVP Kreis 6"		"https://cvp-zuerich6.ch/portfolio-item/luzius-duerr/"					2018-11-16T15:48:22
341	4	916	"mitglied"		"0"	"Redaktionsteam"	"Rédaction"	"http://www.public-affairs.ch/de/ueber-uns/mitglieder/mitglied/2643/m?curia_vista=All"					2016-04-23T09:51:58
342	4	917	"beirat"	"mitglied"	"0"	"Mitglied Advisory Board"	"Membre du Advisory Board"	"https://www.trendtage-gesundheit.ch/de/ueber_uns/Advisory%20Board"					2016-04-23T09:51:58
343	4	918	"beirat"	"mitglied"	"0"	"AVES-Parlamentarier"		"http://www.aves-tg.ch/parlamentarier.html"		"http://www.public-affairs.ch/de/ueber-uns/mitglieder/mitglied/2643/m?curia_vista"			2016-04-23T09:51:58
344	4	920	"mitglied"		"0"			"http://www.public-affairs.ch/de/ueber-uns/mitglieder/mitglied/2643/m?curia_vista=All"					2016-04-23T09:51:58
345	4	921	"vorstand"	"praesident"	"0"	"Präsident a.i."	"Président a.i."	"https://www.bds-thurgau.ch/vorstand/"					2016-04-23T09:51:58
346	4	922	"mitglied"		"0"			"http://www.public-affairs.ch/de/ueber-uns/mitglieder/mitglied/2643/m?curia_vista=All"					2016-04-23T09:51:58
363	50	299	"geschaeftsfuehrend"		1	"Inhaber und Berater"	"Propriétaire et Consultant"			"https://www.linkedin.com/in/louis-perron/"			2020-07-02T23:02:50
423	399	1092	"taetig"		"0"	"Generalsekretär"		"http://www.vspb.org/de/medien/"					2019-07-24T13:09:38
424	399	1094	"beirat"	"mitglied"	"0"			"https://www.skmr.ch/cms/upload/pdf/180117_Beiratsmitglieder.pdf"					2019-07-24T13:09:38
425	399	1095	"vorstand"	"vizepraesident"	"0"			"https://nw.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-110.384.240"					2019-07-24T13:09:38
431	301	1112	"geschaeftsfuehrend"		"0"	"Leiter Corporate Public Affairs"		"http://www.public-affairs.ch/de/ueber-uns/mitglieder/mitglied/2627/k?curia_vista=All"					2016-06-27T22:40:02
432	349	1136	"geschaeftsfuehrend"		"0"	"Geschäftsführer"		"https://www.aeesuisse.ch/de/aeesuisse/geschaeftsstelle"					2016-03-18T11:06:40
433	349	1137	"geschaeftsfuehrend"		"0"	"Mitglied der Unternehmensleitung, Partner"		"https://cr-k.ch/de/people/stefan-batzli"					2016-03-18T11:06:40
434	349	1138	"vorstand"	"praesident"	"0"			"https://so.chregister.ch/cr-portal/auszug/auszug.xhtml;jsessionid=b61738d4c31002b1124f197182e6?uid=CHE-101.614.702"					2016-03-18T11:06:40
435	349	1139	"vorstand"	"mitglied"	"0"			"https://so.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-101.816.683"					2016-03-18T11:06:40
437	245	1201	"geschaeftsfuehrend"		"0"	"Direktor"		"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-108.148.196"					2019-08-19T09:09:36
440	245	1203	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-107.554.464"					2019-08-19T09:09:36
442	245	1207	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-107.810.503"					2019-08-19T09:09:36
443	389	1010	"taetig"		"0"	"Practice Lead Public Affairs / Account Director"		"https://www.xing.com/profile/Alexandra_Thalhammer"			2014-10-01		2019-05-21T19:34:40
447	245	1220	"vorstand"	"vizepraesident"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-106.116.512"					2019-08-19T09:09:36
449	245	1222	"vorstand"	"vizepraesident"	"0"			"https://lu.chregister.ch/cr-portal/auszug/auszug.xhtml;jsessionid=911a62d676e34d2cd18beaba392f?uid=CHE-107.604.530"					2019-08-19T09:09:36
451	245	1224	"vorstand"	"praesident"	"0"			"http://www.ara-bellach.ch/4592/"					2019-08-19T09:09:36
461	237	751	"geschaeftsfuehrend"	"praesident"	"0"	"Direktor"	"Directeur"	"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-107.816.575"					2016-03-18T11:06:40
462	237	752	"geschaeftsfuehrend"		"0"	"Leiter Abteilung Recht"	"Chef de la division Droit"	"https://www.seilbahnen.org/de/Der-Verband/Geschaeftsstelle/GL"					2016-03-18T11:06:40
464	384	1246	"vorstand"	"mitglied"	"0"			"https://ur.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-114.029.051"					2020-07-02T23:06:15
471	317	1251	"vorstand"	"praesident"	"0"			"https://www.linkedin.com/in/daniel-wiener-basel/"					2016-03-18T11:05:59
474	408	1266	"geschaeftsfuehrend"		"0"	"Direktorin"	"Directrice"	"https://www.aso.ch/de/ueber-uns/die-aso/geschaeftsstelleteam"					2016-03-18T11:05:59
482	301	20	"vorstand"	"mitglied"	"0"			"https://zh.chregister.ch/cr-portal/auszug/auszug.xhtml;jsessionid=b6f37143c47231e58474c8b5252c?uid=CHE-108.180.722"					2016-06-27T22:40:02
484	301	1280	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-114.143.089"					2016-06-27T22:40:02
485	167	1271	"geschaeftsfuehrend"		"0"								2020-07-02T23:06:15
486	85	47	"geschaeftsfuehrend"		"0"	"Vize-Direktor, Leiter des Departements Wirtschaft und Politik des Schweizerischen Bauernverbandes"	"Vice-directeur, Responsable du Département Economie, formation et relations internationales"	"https://www.sbv-usp.ch/fr/union-suisse-des-paysans/organisation/secretariat/"					2020-07-02T23:05:05
487	85	1285	"geschaeftsfuehrend"		"0"	"Generalsekretär"	"Secrétaire général"	"https://www.swisstabac.ch/"					2020-07-02T23:05:05
488	85	1286	"vorstand"	"mitglied"	"0"			"https://www.agridea.ch/fileadmin/AGRIDEA/Portrait/Adresses_des_membres_du_comite_2019_neutre.pdf"					2020-07-02T23:05:05
489	85	1287	"vorstand"	"mitglied"	"0"			"https://ag.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-115.191.926"					2020-07-02T23:05:05
490	85	1288	"vorstand"	"praesident"	"0"			"https://ag.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-107.708.425"					2020-07-02T23:05:05
491	85	1289	"vorstand"	"mitglied"	"0"			"https://ag.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-110.389.616"					2020-07-02T23:05:05
497	371	576	"taetig"		"0"	"Projektleiter Agrarpolitik"	"Chef de projet politique agricole"	"http://www.pronatura.ch/news-de/items/verordnungspaket-zur-agrarpolitik-2014-17-zwischenschritt-in-die-richtige-richtung"					2020-07-02T23:05:05
498	371	1292	"vorstand"	"mitglied"	"0"			"https://sz.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-109.615.852"					2020-07-02T23:05:05
499	371	1293	"mitglied"		"0"			"http://assets.wwf.ch/downloads/ap_2014_bis_2017_richtige_richtung_analyse_agrarallianz_stand_dez_2010.pdf"					2020-07-02T23:05:05
510	95	1369	"geschaeftsfuehrend"		"0"			"http://be.powernet.ch/webservices/inet/HRG/HRG.asmx/getHRGHTML?chnr=0354025049&amt=036&toBeModified=0&validOnly=0&lang=1&sort=0"					2016-03-21T00:00:00
524	95	1379	"geschaeftsfuehrend"		"0"	"Geschäftsführer"		"http://www.animalfree-research.org/de/ueber-uns/geschaeftsstelle.html"					2016-03-21T00:00:00
532	228	602	"geschaeftsfuehrend"		"0"	"Verantwortlicher Politik"	"Responsable des affaires politiques"	"https://www.xing.com/profile/Manuel_Graf5"			2011-06-01		2020-07-02T23:06:15
544	448	1406	"vorstand"	"praesident"	"0"			"https://www.bernerbauern.ch/de-ch/Uber-uns/Vorstand"					2019-05-07T14:15:56
549	125	602	"taetig"		"0"	"Leiter Klima & Energie"		"http://www.wwf.ch/de/hintergrundwissen/klima/politik/globalpol/"					2017-09-14T18:21:30
554	366	336	"geschaeftsfuehrend"	"praesident"	"0"	"Direktor"	"Directeur"	"http://www.arbeitgeber.ch/de/verband/geschaeftsstelle"					2016-03-18T11:06:40
555	366	977	"vorstand"	"mitglied"	"0"			"https://zh.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-103.607.601"			2014-11-08		2016-03-18T11:06:40
558	347	580	"taetig"		1	"Koordinator Bundespolitik"	"Coordinateur politique fédérale"	"https://www.admin.ch/ch/d/gg/pc/documents/2987/Mineraloelpflichtlagerverordnung_Stellungnahmen.pdf"					2020-07-16T17:45:51
559	448	1421	"vorstand"	"praesident"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml;jsessionid=d9144439c3daa62064067e503e0b?uid=CHE-108.641.982"					2019-05-07T14:15:56
561	448	1423	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-103.944.139"			2013-12-23		2019-05-07T14:15:56
589	125	187	"vorstand"	"mitglied"	"0"					"Patrick Hofstetter"			2017-09-14T18:21:30
590	237	669	"vorstand"	"mitglied"	"0"			"https://www.stv-fst.ch/de/ueber-den-stv/organe/vorstand"					2016-03-18T11:06:40
591	237	1497	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-105.934.790"					2016-03-18T11:06:40
592	237	168	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-101.560.118"					2016-03-18T11:06:40
593	237	244	"vorstand"	"mitglied"	"0"			"https://litra.ch/de/ueber-litra/vereinsorgane/vorstand/"					2016-03-18T11:06:40
596	253	1508	"vorstand"	"mitglied"	"0"			"http://www.ueli-keller.ch/politik/beispiele/"					2020-05-19T17:32:27
597	253	1509	"geschaeftsfuehrend"		"0"			"http://www.xn--sp-zrich-95a.ch/icc.asp?oid=58168"		"Ueli Keller"			2020-05-19T17:32:27
598	253	1510	"gesellschafter"	"mitglied"	"0"			"http://zh.powernet.ch/webservices/inet/HRG/HRG.asmx/getHRGHTML?chnr=0204900313&amt=020&toBeModified=0&validOnly=0&lang=1&sort=0"					2020-05-19T17:32:27
613	366	377	"vorstand"	"mitglied"	"0"					"Roland A. Müller"	2015-01-01		2016-03-18T11:06:40
614	366	1553	"vorstand"	"vizepraesident"	"0"			"https://www.admin.ch/ch/d/cf/ko/Gremien_interessenbindung_10564.html"					2016-03-18T11:06:40
615	366	912	"mitglied"		"0"			"https://www.admin.ch/ch/d/cf/ko/gremium_10554.html"					2016-03-18T11:06:40
616	366	656	"mitglied"		"0"			"https://www.admin.ch/ch/d/cf/ko/Gremien_interessenbindung_10564.html"					2016-03-18T11:06:40
618	125	1554	"geschaeftsfuehrend"	"mitglied"	"0"	"Mitglied Geschäftsleitungsausschuss"				"Patrick Hofstetter"			2017-09-14T18:21:30
622	125	1557	"beirat"	"mitglied"	"0"	"Mitglied International Advisory Council"		"http://www.ecoinvent.org/about/organisation/international-advisory-council/international-advisory-council.html"					2017-09-14T18:21:30
626	317	1563	"vorstand"	"mitglied"	"0"			"https://www.linkedin.com/in/daniel-wiener-basel/"		"E-Mail WIener 10.11.2014"			2016-03-18T11:05:59
627	317	1564	"vorstand"	"mitglied"	"0"			"https://www.linkedin.com/in/daniel-wiener-basel/"		"E-Mail WIener 10.11.2014"			2016-03-18T11:05:59
633	396	1572	"vorstand"	"praesident"	"0"			"https://www.linkedin.com/in/pierre-zwahlen-44501056/"					2016-03-18T11:03:50
640	400	1622	"geschaeftsfuehrend"		"0"	"Sekretariat und Verbandsvertreterin Schweizer Tourismusverband"		"http://www.swisstourfed.ch/index.cfm?parents_id=970"					2016-03-18T11:03:50
663	381	1639	"vorstand"	"mitglied"	"0"			"http://www.public-affairs.ch/de/ueber-uns/vorstand"					2020-07-15T17:57:34
664	123	1640	"vorstand"	"praesident"	"0"			"http://www.hrazg.ch/webservices/inet/HRG/HRG.asmx/getHRGHTML?chnr=1703030115&amt=170&toBeModified=0&validOnly=0&lang=1&sort=0"					2020-07-02T23:05:05
665	123	1639	"mitglied"		"0"			"http://www.public-affairs.ch/de/ueber-uns/mitglieder/mitglied/2607/h?curia_vista=All"					2020-07-02T23:05:05
679	83	35	"geschaeftsfuehrend"		"0"	"Geschäftsführerin"		"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml;jsessionid=28b8cabeb4376d55ae91d3ed2455?uid=CHE-107.809.718"					2016-03-18T11:03:50
680	190	350	"geschaeftsfuehrend"	"mitglied"	"0"	";anaging Partner, Verwaltungsrat"	"Managing Partner, conseil d'administration"	"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-105.181.458"		"furrerhugi.ch"			2019-01-10T18:04:37
681	190	1683	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-112.834.490"					2019-01-10T18:04:37
682	190	1684	"vorstand"	"mitglied"	"0"			"http://www.phw-bern.ch/about/lecturers/439/"					2019-01-10T18:04:37
683	190	1685	"vorstand"	"praesident"	"0"			"http://www.phw-bern.ch/about/lecturers/439/"					2019-01-10T18:04:37
684	190	1335	"mitglied"		"0"			"http://www2.rotary.ch/fileadmin/rotary.ch/documents/magazin/010212_rotary_juli_aug_12.pdf"					2019-01-10T18:04:37
688	190	1688	"geschaeftsfuehrend"		"0"	"Geschäftsführer"	"Directeur"	"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-311.935.770"					2019-01-10T18:04:37
692	190	1691	"geschaeftsfuehrend"	"praesident"	"0"	"Vorsitzender der Geschäftsführung"	"Président du Directoire"	"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-171.258.162"					2019-01-10T18:04:37
693	190	1692	"geschaeftsfuehrend"		"0"	"Gesellschafter und Geschäftsführer"	"Associé gérant"	"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-478.902.853"					2019-01-10T18:04:37
696	348	1693	"mitglied"	"praesident"	"0"			"http://www.schule-zumikon.ch/de/organisation/personal/?personen_id=31950"					2019-01-10T17:37:38
697	348	1694	"vorstand"	"mitglied"	"0"	"Gemeinderat; Vorsteher Bildung"	"Conseiller communal"	"http://www.zumikon.ch/de/politik/gemeinderat/"					2019-01-10T17:37:38
699	348	1695	"vorstand"	"praesident"	"0"			"http://www.iaeste.ch/About/Switzerland/Board/"					2019-01-10T17:37:38
700	348	1696	"vorstand"	"praesident"	"0"			"http://www.bpra.ch/bpra/"					2019-01-10T17:37:38
702	146	923	"geschaeftsfuehrend"	"mitglied"	"0"	"Sekretär der IG"				"Angaben J. Eder 6.1.2015"			2017-10-20T18:00:58
714	458	461	"geschaeftsfuehrend"	"vizepraesident"	"0"	"Vizedirektor / Leiter Public & Regulatory Affairs"	"Sous-directeur / Responsable Affaires publiques et réglementaires"	"https://www.kantonalbank.ch/de-CH/Verband/Ansprechpersonen"					2016-03-18T11:06:40
717	96	516	"taetig"		"0"	"Senior Partner"		"https://www.dynamicsgroup.ch/de/team.html#/bettina_mutter"					2019-04-16T19:29:49
726	439	1759	"taetig"		"0"			"http://www.nzz.ch/schweiz/thomas-borer-im-sold-einer-fremden-macht-1.18465336"					2015-03-21T00:00:00
728	438	1639	"vorstand"	"mitglied"	"0"			"https://www.public-affairs.ch/de/ueber-uns/vorstand/3597"					2019-07-21T13:06:12
734	283	344	"geschaeftsfuehrend"		1	"Stellvertretender Direktor, Ressortleiter Wirtschaftspolitik, Energie und Umwelt"	"Directeur adjoint. Politique économique, Politique énergétique et environnementale"	"https://www.sgv-usam.ch/%C3%BCber-den-sgv/geschaeftsstelle"					2016-03-18T11:03:50
735	283	1782	"mitglied"		"0"			"https://www.weko.admin.ch/weko/de/home/die-weko/kommission/mitglieder.html"					2016-03-18T11:03:50
736	283	728	"vorstand"	"mitglied"	"0"			"https://www.klimarappen.ch/de/Organigramm.8.html"					2016-03-18T11:03:50
737	283	1009	"vorstand"	"mitglied"	"0"			"http://www.nuklearforum.ch/de/nuklearforum-schweiz/der-verein/vorstand"					2016-03-18T11:03:50
739	283	1783	"mitglied"		"0"			"https://www.admin.ch/ch/d/cf/ko/interessenbindung_5471.html"					2016-03-18T11:03:50
740	283	1784	"mitglied"		"0"			"https://www.admin.ch/ch/d/cf/ko/interessenbindung_5471.html"					2016-03-18T11:03:50
742	283	1395	"vorstand"	"mitglied"	"0"			"https://www.energie-cluster.ch/de/ueber-uns_0/wer-wir-sind/der-vorstand-2701.html"					2016-03-18T11:03:50
745	283	1788	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-259.943.106"					2016-03-18T11:03:50
746	283	1789	"vorstand"	"mitglied"	"0"			"https://zh.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-146.923.275"					2016-03-18T11:03:50
747	283	1790	"vorstand"	"mitglied"	"0"			"http://www.weltwoche.ch/ausgaben/2014-41/ein-volk-ein-land-ein-system-die-weltwoche-ausgabe-412014.html"					2016-03-18T11:03:50
755	166	36	"taetig"		"0"	"Zentralsekretär"		"http://www.sgb.ch/der-sgb/zentralsekretariat/"					2016-03-18T11:05:59
757	166	936	"beirat"	"vizepraesident"	"0"	"Co-Vizepräsident"		"http://www.ekkj.admin.ch/content.php?ekkj-1-6-tbl_1_49"					2016-03-18T11:05:59
758	166	1812	"taetig"		"0"	"Assistent für Strafrecht"		"http://fernuni.ch/law/bachelor/studieninhalte/?tx_peopledirectory_module%5Bmodule%5D=21&tx_peopledirectory_module%5Baction%5D=show&tx_peopledirectory_module%5Bcontroller%5D=Module&cHash=e33eff136000d3d4e2e0b4f9999cf97f"					2016-03-18T11:05:59
759	166	1813	"vorstand"	"mitglied"	"0"			"http://hrc.ne.ch/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-645-0401267-9&ofrcLanguage=1"					2016-03-18T11:05:59
760	166	1814	"taetig"		"0"	"Experte"		"http://www.movendo.ch/de/kurse_mitarbeitende/detail.htm?VerdefID=216392"					2016-03-18T11:05:59
761	166	1815	"vorstand"	"mitglied"	"0"	"Mitglied des Geschäftsleitenden Ausschusses GLA"		"http://www.unisg.ch/de/institute/e_h/faa/about+faa-hsg/organisation"					2016-03-18T11:05:59
767	190	1858	"taetig"		"0"	"Sekretär"	"Secrétaire"	"https://www.parlament.ch/centers/documents/de/parlamentarische-gruppen.pdf"					2019-01-10T18:04:37
768	334	1872	"taetig"		1	"Pastor im Ruhestand verfügbar"	"Pasteur retraité disponible"	"https://www.eemt.ch/d%C3%A9couverte/equipes-de-responsables/les-personnes-engag%C3%A9es/"					2020-05-30T13:54:20
780	97	1889	"geschaeftsfuehrend"	"praesident"	"0"	"Generalsekretär"	"Secrétaire générale"	"http://www.parlament.ch/d/organe-mitglieder/bundesversammlung/adressen-websites-fotos/Documents/parlamentarische-gruppen.pdf"					2016-03-18T11:03:50
781	97	1890	"vorstand"	"vizepraesident"	"0"			"https://zg.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-154.011.790"		"http://www.armenian.ch/asa/Docs/20060613-PressRelease_F.pdf"	2012-11-14		2016-03-18T11:03:50
782	97	1891	"mitglied"		"0"	"Ehrenpräsident"		"http://www.armenian.ch/asa/Docs/20060613-PressRelease_F.pdf"		"Mitteilung S. Shahinian"			2016-03-18T11:03:50
783	400	669	"geschaeftsfuehrend"		"0"	"Direktorin"	"Directrice"	"http://www.swisstourfed.ch/index.cfm?parents_id=951"					2016-03-18T11:03:50
784	400	1497	"vorstand"	"mitglied"	"0"	"Mitglied der Verwaltung"	"Membre de l'Administration"	"http://www.reka.ch/de/unternehmung/Documents/Mitglieder%20der%20Verwaltung_Reka_2013.pdf"					2016-03-18T11:03:50
785	400	1892	"beirat"	"mitglied"	"0"	"Beirätin"	"Conseillère consultative"	"https://www.espacesuisse.ch/de/verband/organisation/beirat"					2016-03-18T11:03:50
787	97	613	"taetig"		"0"	"Dolmetscher"		"https://www.linkedin.com/profile/view?id=94674515"					2016-03-18T11:03:50
792	142	47	"geschaeftsfuehrend"		"0"	"Direktor"	"Directeur"	"https://www.sbv-usp.ch/de/der-sbv/mitarbeitende/departement-produktion-maerkte-oekologie/"			2020-04-01		2019-05-21T19:27:54
793	142	1906	"vorstand"	"praesident"	"0"			"https://www.agrocleantech.ch/de/%C3%BCber-uns/organisation.html"					2019-05-21T19:27:54
794	142	1908	"vorstand"	"praesident"	"0"			"https://www.agrocleantech.ch/de/%C3%BCber-uns/organisation.html"					2019-05-21T19:27:54
814	123	1931	"taetig"		"0"			"http://www.public-affairs.ch/de/ueber-uns/mitglieder/mitglied/2607/h?curia_vista=All"					2020-07-02T23:05:05
815	123	1932	"taetig"		"0"			"http://www.public-affairs.ch/de/ueber-uns/mitglieder/mitglied/2607/h?curia_vista=All"					2020-07-02T23:05:05
816	123	1933	"taetig"		"0"			"http://www.public-affairs.ch/de/ueber-uns/mitglieder/mitglied/2607/h?curia_vista=All"					2020-07-02T23:05:05
819	404	1935	"taetig"		"0"	"Lehrbeauftragter Departement für Medien- und Kommunikationswissenschaft"	"Chargé de cours department des sciences de la communication et des médias"	"http://www.unifr.ch/dcm/index.php?page=lehrbeauftragte"					2020-07-02T23:05:05
826	439	1959	"geschaeftsfuehrend"		"0"	"Inhaber"		"http://zh.powernet.ch/webservices/net/HRG/HRG.asmx/getHRGHTML?chnr=CH-130.1.015.483-1&amt=020&toBeModified=0&validOnly=0&lang=1&sort="					2015-03-21T00:00:00
827	439	1960	"vorstand"	"praesident"	"0"			"http://zh.powernet.ch/webservices/net/HRG/HRG.asmx/getHRGHTML?chnr=CH-020.3.032.003-1&amt=020&toBeModified=0&validOnly=0&lang=1&sort="					2015-03-21T00:00:00
